,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,282.04,100,90,1.25,US,1618733958
1,hasaki,35.7333,140.8333,291.15,27,20,2.57,JP,1618733741
2,ushuaia,-54.8,-68.3,284.15,54,75,4.12,AR,1618733959
3,albany,42.6001,-73.9662,279.82,68,97,0.89,US,1618733853
4,adiake,5.2863,-3.304,300.15,83,20,1.03,CI,1618733892
5,arlit,18.7369,7.3853,307.53,4,100,4.78,NE,1618733959
6,kiama,-34.6833,150.8667,290.37,77,14,2.06,AU,1618733960
7,rikitea,-23.1203,-134.9692,298.25,71,5,2.53,PF,1618733960
8,hermanus,-34.4187,19.2345,303.71,29,0,2.3,ZA,1618733497
9,baykit,61.67,96.37,272.29,67,100,4.7,RU,1618733515
10,hilo,19.7297,-155.09,296.15,68,40,3.6,US,1618733465
11,arraial do cabo,-22.9661,-42.0278,297.13,82,100,9.39,BR,1618733515
12,bubaque,11.2833,-15.8333,297.71,71,100,2.56,GW,1618733516
13,shelburne,44.0787,-80.2041,275.15,86,1,3.48,CA,1618733516
14,luganville,-15.5333,167.1667,300.27,78,32,2.16,VU,1618733516
15,bredasdorp,-34.5322,20.0403,292.15,59,0,1.54,ZA,1618733517
16,puerto ayora,-0.7393,-90.3518,297.04,100,100,0.94,EC,1618733518
17,yulara,-25.2406,130.9889,297.15,22,0,5.14,AU,1618733743
18,manmad,20.25,74.45,309.53,14,0,3.37,IN,1618733519
19,fort nelson,58.8053,-122.7002,271.15,100,40,1.54,CA,1618733745
20,mataura,-46.1927,168.8643,284.26,76,90,1.79,NZ,1618733520
21,bilibino,68.0546,166.4372,263.21,89,7,1.66,RU,1618733520
22,barrow,71.2906,-156.7887,268.15,80,1,4.12,US,1618733520
23,busselton,-33.65,115.3333,297.59,45,0,1.79,AU,1618733521
24,vaini,-21.2,-175.2,296.15,83,40,2.06,TO,1618733521
25,hithadhoo,-0.6,73.0833,301.48,60,48,2.67,MV,1618733347
26,faanui,-16.4833,-151.75,300.96,73,0,3.92,PF,1618733522
27,adrar,20.5022,-10.0711,295.62,25,0,3.27,MR,1618733522
28,georgetown,5.4112,100.3354,305.15,70,40,3.6,MY,1618733523
29,castro,-24.7911,-50.0119,286.51,98,58,1.25,BR,1618733523
30,kodiak,57.79,-152.4072,278.15,81,90,4.12,US,1618733523
31,thompson,55.7435,-97.8558,269.15,74,90,5.66,CA,1618733524
32,cape town,-33.9258,18.4232,304.82,14,0,2.57,ZA,1618733534
33,prince rupert,54.3161,-130.3201,283.15,81,1,1.03,CA,1618733524
34,high rock,26.6208,-78.2833,297.15,83,0,2.06,BS,1618733525
35,richards bay,-28.783,32.0377,296.24,48,36,5.8,ZA,1618733525
36,saint-philippe,-21.3585,55.7679,301.15,65,90,6.17,RE,1618733526
37,lompoc,34.6391,-120.4579,283.15,87,2,2.82,US,1618733526
38,bengkulu,-3.8004,102.2655,301.6,70,100,2.92,ID,1618733527
39,beyneu,45.3167,55.2,294.95,22,100,3.49,KZ,1618733527
40,hobart,-42.8794,147.3294,289.15,55,75,4.63,AU,1618733528
41,chimbote,-9.0853,-78.5783,291.94,92,72,2.05,PE,1618733528
42,provideniya,64.3833,-173.3,267.71,97,15,1.32,RU,1618733529
43,aksarka,66.5606,67.7975,262.4,76,98,3.91,RU,1618733529
44,bako,5.7833,36.5667,294.52,65,100,0.52,ET,1618733233
45,altay,47.8667,88.1167,286.32,37,1,5.41,CN,1618733529
46,mareeba,-17.0,145.4333,297.59,94,40,5.14,AU,1618733530
47,deep river,46.1001,-77.4995,278.15,87,40,2.51,CA,1618733531
48,asheville,35.6009,-82.554,281.15,71,1,3.09,US,1618733269
49,itajuba,-22.4256,-45.4528,289.82,91,100,0.21,BR,1618733531
50,khatanga,71.9667,102.5,259.19,86,100,5.2,RU,1618733269
51,douentza,14.9951,-2.9517,304.33,16,14,3.62,ML,1618733532
52,severo-kurilsk,50.6789,156.125,274.5,74,100,6.07,RU,1618733532
53,moose factory,51.2585,-80.6094,269.15,100,90,0.95,CA,1618733532
54,makakilo city,21.3469,-158.0858,296.15,73,1,2.57,US,1618733752
55,lebu,-37.6167,-73.65,284.4,90,44,3.79,CL,1618733533
56,kavaratti,10.5669,72.642,302.32,67,10,2.14,IN,1618733533
57,saskylakh,71.9167,114.0833,261.38,90,100,5.85,RU,1618733534
58,bathsheba,13.2167,-59.5167,299.15,65,40,7.72,BB,1618733751
59,bethel,41.3712,-73.414,279.26,75,40,1.54,US,1618733534
60,yilan,24.757,121.753,294.82,99,74,3.91,TW,1618733535
61,gat,31.61,34.7642,307.04,31,0,0.45,IL,1618733535
62,notodden,59.5594,9.2585,282.04,55,36,0.45,NO,1618733536
63,saint-augustin,51.226,-58.6502,272.3,87,67,7.79,CA,1618733536
64,tuktoyaktuk,69.4541,-133.0374,265.3,95,31,3.08,CA,1618733536
65,palmer,42.1584,-72.3287,276.48,100,90,1.54,US,1618733537
66,leningradskiy,69.3833,178.4167,272.44,84,100,3.73,RU,1618733537
67,kautokeino,69.0125,23.0412,270.64,95,100,2.57,NO,1618733538
68,zilair,52.2332,57.4392,289.74,43,0,2.73,RU,1618733539
69,tessalit,20.1986,1.0114,303.32,15,66,6.35,ML,1618733539
70,stornoway,58.2093,-6.3865,281.15,93,90,9.77,GB,1618733540
71,nara,34.6851,135.8049,285.37,62,75,4.12,JP,1618733540
72,salas,43.4118,-6.2602,283.71,66,0,1.03,ES,1618733540
73,saint anthony,45.0205,-93.218,279.26,60,1,1.85,US,1618733541
74,new norfolk,-42.7826,147.0587,288.15,77,100,1.79,AU,1618733541
75,natal,-5.795,-35.2094,297.15,94,40,1.54,BR,1618733395
76,meulaboh,4.1363,96.1285,302.91,67,79,3.51,ID,1618733756
77,east london,-33.0153,27.9116,299.15,34,0,1.03,ZA,1618733542
78,naze,28.3667,129.4833,293.15,49,40,9.26,JP,1618733401
79,caronport,50.4501,-105.8179,278.15,60,100,7.2,CA,1618733543
80,kapaa,22.0752,-159.319,295.15,64,90,3.6,US,1618733543
81,pathein,16.7833,94.7333,307.0,43,89,4.92,MM,1618733544
82,paita,-5.0892,-81.1144,294.02,78,84,3.09,PE,1618733544
83,nanortalik,60.1432,-45.2371,268.02,56,0,8.09,GL,1618733544
84,jamestown,42.097,-79.2353,277.15,87,90,2.06,US,1618733545
85,kungurtug,50.5994,97.5228,280.93,41,55,1.82,RU,1618733545
86,qaanaaq,77.484,-69.3632,255.24,94,100,3.1,GL,1618733546
87,wanning,18.8003,110.3967,299.8,76,63,3.27,CN,1618733546
88,divnomorskoye,44.5011,38.1353,286.03,87,100,2.56,RU,1618733546
89,karlshamn,56.1706,14.8619,285.15,54,0,5.66,SE,1618733547
90,trapani,37.8333,12.6667,286.15,82,40,3.6,IT,1618733540
91,atuona,-9.8,-139.0333,300.1,74,57,8.36,PF,1618733547
92,punta arenas,-53.15,-70.9167,281.15,76,75,2.57,CL,1618733548
93,ponta do sol,32.6667,-17.1,288.71,73,80,0.45,PT,1618733548
94,te anau,-45.4167,167.7167,284.23,87,100,2.94,NZ,1618733548
95,zhigansk,66.7697,123.3711,265.65,83,99,2.45,RU,1618733549
96,saint-pierre,-21.3393,55.4781,299.15,65,90,6.17,RE,1618733549
97,general roca,-39.0333,-67.5833,288.15,77,0,3.09,AR,1618733550
98,ugoofaaru,5.6667,73.0,301.98,72,23,3.59,MV,1618733550
99,ribeira grande,38.5167,-28.7,289.15,82,20,7.2,PT,1618733550
100,pevek,69.7008,170.3133,266.69,77,11,8.01,RU,1618733535
